ID DISTRIBUIDORA;PERIODO;CONJUNTO;COD CONJUNTO;NUMERO UCS;DECTOT;FECTOT;DECXP;FECXP;DECXN;FECXN;DECIP;FECIP;DECIND;FECIND;DECINE;FECINE;DECINC;FECINC;DECINO;FECINO;DECIPC;FECIPC;DECXPC;FECXPC;DECXNC;FECXNC
5160;Fevereiro/2023;SAMAMBAIA OESTE;16020;41.567;0,76;0,66;0,00;0,00;0,00;0,00;0,01;0,00;0,75;0,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;TAGUATINGA;16021;114.943;0,35;0,31;0,00;0,00;0,00;0,00;0,01;0,04;0,34;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;TAGUATINGA NORTE;16022;45.993;0,22;0,09;0,00;0,00;0,00;0,00;0,01;0,00;0,21;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;BRAZLÂNDIA;16023;16.472;1,92;1,34;0,00;0,00;0,00;0,00;0,02;0,01;1,28;1,07;0,00;0,00;0,62;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Mangueiral;16840;35.185;0,60;0,63;0,00;0,00;0,00;0,00;0,02;0,05;0,51;0,56;0,00;0,00;0,07;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;São Sebastião;16841;29.941;0,72;0,62;0,00;0,00;0,00;0,00;0,05;0,15;0,67;0,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Fevereiro/2023;Paranoa;16842;49.123;0,85;0,67;0,00;0,00;0,00;0,00;0,08;0,02;0,77;0,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Brasília Centro;12668;12.680;0,26;0,12;0,00;0,00;0,00;0,00;0,08;0,05;0,18;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Ceilândia Norte;12671;81.185;0,66;1,57;0,00;0,00;0,00;0,00;0,00;0,00;0,66;1,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Contagem;12673;32.082;1,85;1,85;0,00;0,00;0,00;0,00;0,00;0,00;1,85;1,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Gama;12674;51.498;0,47;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,47;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Santa Maria;12680;42.701;0,16;0,08;0,00;0,00;0,00;0,00;0,01;0,00;0,15;0,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Sudoeste;12681;34.222;0,13;0,09;0,00;0,00;0,00;0,00;0,04;0,02;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Vale do Amanhecer;12683;21.117;1,24;0,75;0,00;0,00;0,00;0,00;0,14;0,05;1,10;0,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;PLANALTINA;15621;44.543;0,49;0,46;0,00;0,00;0,00;0,00;0,08;0,04;0,41;0,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;NÚCLEO BANDEIRANTE;15623;20.540;0,58;0,52;0,00;0,00;0,00;0,00;0,00;0,00;0,55;0,32;0,00;0,00;0,03;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;RIACHO FUNDO;15624;34.460;0,66;0,34;0,00;0,00;0,00;0,00;0,01;0,01;0,65;0,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;ÁGUAS CLARAS;15625;92.639;0,57;0,26;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,19;0,00;0,00;0,17;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;MONJOLO;15626;77.688;0,17;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,17;0,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;PAD-JARDIM;16013;2.749;4,17;2,79;0,00;0,00;0,00;0,00;0,16;0,42;4,01;2,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;BRASÍLIA GERAL;16014;59.995;0,11;0,04;0,00;0,00;0,00;0,00;0,01;0,02;0,10;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;HÍPICA;16015;12.266;0,90;0,52;0,00;0,00;0,00;0,00;0,01;0,06;0,85;0,44;0,00;0,00;0,04;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;ASA NORTE;16016;77.680;0,07;0,16;0,00;0,00;0,00;0,00;0,02;0,03;0,05;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;LAGO NORTE;16017;17.405;0,28;1,06;0,00;0,00;0,00;0,00;0,01;0,00;0,27;1,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;SOBRADINHO;16018;31.029;0,42;0,23;0,00;0,00;0,00;0,00;0,00;0,00;0,42;0,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;CEILÂNDIA SUL;16019;83.552;0,32;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;SAMAMBAIA OESTE;16020;41.535;0,46;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,46;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;TAGUATINGA;16021;114.692;0,26;0,17;0,00;0,00;0,00;0,00;0,01;0,01;0,25;0,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;TAGUATINGA NORTE;16022;45.887;0,38;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,38;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;BRAZLÂNDIA;16023;16.450;0,60;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,55;0,20;0,00;0,00;0,05;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
5160;Março/2023;Mangueiral;16840;35.137;0,34;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,34;0,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
